school,school_beds,district,district_beds,county,street,city,state,zip,lat,long,geo_method
SEVEN BRIDGES MIDDLE SCHOOL,661004060006,CHAPPAQUA CSD,661004,WESTCHESTER,222 SEVEN BRIDGES RD,CHAPPAQUA,NY,10514,41.20703386,-73.77235618,osm
GREENBURGH ELEVEN ELEMENTARY SCHOOL,660411020002,GREENBURGH ELEVEN UFSD,660411,WESTCHESTER,1 ECHO HILLS - BETHUNE BLDG #36,DOBBS FERRY,NY,10522,41.00203136,-73.86330047,osm
BROOKSIDE SCHOOL,661401030001,OSSINING UFSD,661401,WESTCHESTER,PINESBRIDGE RD,OSSINING,NY,10562,41.17459155,-73.83361201,osm
WEST PATENT ELEMENTARY SCHOOL,660102060007,BEDFORD CSD,660102,WESTCHESTER,W PATENT RD,BEDFORD HILLS,NY,10507,41.21750015,-73.69946474,osm
GREENBURGH ELEVEN MIDDLE SCHOOL,660411020003,GREENBURGH ELEVEN UFSD,660411,WESTCHESTER,2 ECHO HILLS - BETHUNE BLDG #36,DOBBS FERRY,NY,10522,41.00331148,-73.86015077,osm
SOMERS INTERMEDIATE SCHOOL,662101060003,SOMERS CSD,662101,WESTCHESTER,240 RT 202,SOMERS,NY,10589,41.32533744,-73.69744427,osm
WESTLAKE MIDDLE SCHOOL,660801060007,MT PLEASANT CSD,660801,WESTCHESTER,825 WESTLAKE DR,THORNWOOD,NY,10594,41.11090451,-73.76482523,osm
WESTLAKE HIGH SCHOOL,660801060006,MT PLEASANT CSD,660801,WESTCHESTER,825 WESTLAKE DR,THORNWOOD,NY,10594,41.11090451,-73.76482523,osm
SOMERS MIDDLE SCHOOL,662101060004,SOMERS CSD,662101,WESTCHESTER,250 RT 202,SOMERS,NY,10589,41.3263291,-73.69469792,osm
GREENBURGH ELEVEN HIGH SCHOOL,660411020004,GREENBURGH ELEVEN UFSD,660411,WESTCHESTER,3 ECHO HILLS-BETHUNE BLDG #36,DOBBS FERRY,NY,10522,41.00335197,-73.8600113,osm
BLYTHEDALE SCHOOL,660806020001,MT PLEASANT-BLYTHEDALE UFSD,660806,WESTCHESTER,95 BRADHURST AVE,VALHALLA,NY,10595,41.07470742,-73.79970897,osm
LEE F JACKSON SCHOOL,660407060001,GREENBURGH CSD,660407,WESTCHESTER,SARATOGA RD,WHITE PLAINS,NY,10607,41.03469388,-73.79080264,osm
SCHOOL FOR ADAPTIVE AND INTEGRATIVE LEARNING AT FERNCLIFF MANOR,660404997808,NA,NA,WESTCHESTER,16 VILLARA AVE,HASTINGS ON HUDSON,NY,10706,40.99676589,-73.8811129,osm
FUSION ACADEMY WESTCHESTER,662200996141,NA,NA,WESTCHESTER,701 WESTCHESTER AVE-STE 200E,WHITE PLAINS,NY,10604,41.03394441,-73.76416646,osm
SARAH LAWRENCE EARLY CHILDHOOD CENTER,662300998304,NA,NA,WESTCHESTER,1 MEAD WAY,BRONXVILLE,NY,10708,40.93758206,-73.84278233,osm
IVES SCHOOL,662101997144,NA,NA,WESTCHESTER,145 RTE 202,LINCOLNDALE,NY,10540,41.32824585,-73.68573462,osm
,662401060005,,,,,,,,41.3128909,-73.87263358,
