GEOID,municipality
36119009200,White Plains
36119003900,Mount Vernon
36119006801,New Rochelle
36119002800,Mount Vernon
36119003100,Mount Vernon
36119014806,Yorktown
36119001800,Yonkers
36119010600,Ardsley
36119005001,Eastchester
36119011400,Tarrytown
36119007401,Mamaroneck Village
36119000203,Yonkers
36119000401,Yonkers
36119014909,Somers
36119009400,White Plains
36119982000,Ossining Village
36119003600,Mount Vernon
36119009703,White Plains
36119008100,Port Chester
36119005600,New Rochelle
36119001301,Yonkers
36119000702,Yonkers
36119000500,Yonkers
36119000803,Yonkers
36119009600,White Plains
36119003200,Mount Vernon
36119003300,Mount Vernon
36119008000,Port Chester
36119000201,Yonkers
36119000402,Yonkers
36119007900,Port Chester
36119001900,Yonkers
36119004300,Mount Vernon
36119008200,Port Chester
36119002900,Mount Vernon
36119011600,Sleepy Hollow
36119010100,Scarsdale
36119010500,Dobbs Ferry
36119001505,Yonkers
36119002105,Yonkers
36119005902,New Rochelle
36119003500,Mount Vernon
36119005400,Pelham
36119001402,Yonkers
36119983000,Bedford
36119006000,New Rochelle
36119001302,Yonkers
36119000101,Yonkers
36119002405,Yonkers
36119006600,New Rochelle
36119001101,Yonkers
36119005500,Pelham Manor
36119002104,Yonkers
36119004700,Bronxville
36119000202,Yonkers
36119003400,Mount Vernon
36119012000,Mount Pleasant
36119014300,Peekskill
36119000900,Yonkers
36119006300,New Rochelle
36119002404,Yonkers
36119014703,Cortlandt
36119010702,Greenburgh
36119000300,Yonkers
36119004500,Mount Vernon
36119005300,Pelham
36119008901,White Plains
36119009000,White Plains
36119010801,Greenburgh
36119011101,Greenburgh
36119012802,Bedford
36119012303,North Castle
36119008500,Harrison
36119001700,Yonkers
36119010804,Greenburgh
36119013600,Ossining Village
36119013800,Croton-on-Hudson
36119015000,North Salem
36119007000,Mamaroneck Town
36119011902,Mount Pleasant
36119000802,Yonkers
36119001000,Yonkers
36119001102,Yonkers
36119007100,Larchmont
36119007300,Mamaroneck Village
36119004200,Mount Vernon
36119004400,Mount Vernon
36119006700,New Rochelle
36119009300,White Plains
36119005901,New Rochelle
36119014200,Peekskill
36119014500,Peekskill
36119012503,Lewisboro
36119012101,Mount Pleasant
36119010903,Greenburgh
36119012900,Mount Kisco
36119002401,Yonkers
36119002403,Yonkers
36119002000,Yonkers
36119005701,New Rochelle
36119002103,Yonkers
36119010300,Hastings-on-Hudson
36119003800,Mount Vernon
36119007600,Rye City
36119013900,Croton-on-Hudson
36119002107,Yonkers
36119984000,Cortlandt
36119013201,Briarcliff Manor
36119014605,Cortlandt
36119007800,Port Chester
36119005800,New Rochelle
36119007700,Rye City
36119006100,New Rochelle
36119006802,New Rochelle
36119011200,Elmsford
36119005100,Eastchester
36119013104,New Castle
36119014810,Yorktown
36119012501,Lewisboro
36119004900,Eastchester
36119001200,Yonkers
36119004000,Mount Vernon
36119004100,Mount Vernon
36119008404,Harrison
36119001403,Yonkers
36119014809,Yorktown
36119008302,Rye Brook
36119014903,Somers
36119014901,Somers
36119011300,Irvington
36119000701,Yonkers
36119006500,New Rochelle
36119011500,Tarrytown
36119011800,Mount Pleasant
36119014604,Cortlandt
36119014907,Somers
36119004600,Bronxville
36119013000,Mount Kisco
36119014400,Peekskill
36119014701,Cortlandt
36119002300,Yonkers
36119013400,Ossining Village
36119000600,Yonkers
36119002700,Mount Vernon
36119010803,Greenburgh
36119009500,White Plains
36119012301,North Castle
36119001504,Yonkers
36119012102,Mount Pleasant
36119014606,Cortlandt
36119009900,Scarsdale
36119013202,Briarcliff Manor
36119005200,Eastchester
36119006200,New Rochelle
36119014908,Somers
36119012304,North Castle
36119000103,Yonkers
36119009100,White Plains
36119006400,New Rochelle
36119002402,Yonkers
36119013301,Ossining Village
36119010901,Greenburgh
36119010902,Greenburgh
36119002101,Yonkers
36119000801,Yonkers
36119014804,Yorktown
36119012200,Pleasantville
36119002202,Yonkers
36119008902,White Plains
36119007402,Mamaroneck Village
36119014100,Peekskill
36119981000,Mount Pleasant
36119008403,Harrison
36119002106,Yonkers
36119002201,Yonkers
36119005702,New Rochelle
36119003700,Mount Vernon
36119008401,Harrison
36119001401,Yonkers
36119008301,Rye Brook
36119008700,Harrison
36119002204,Yonkers
36119012700,Bedford
36119013103,New Castle
36119008602,Harrison
36119002600,Mount Vernon
36119007200,Mamaroneck Village
36119001303,Yonkers
36119006900,Mamaroneck Town
36119013304,Ossining Village
36119013500,Ossining Village
36119000104,Yonkers
36119009702,White Plains
36119005002,Eastchester
36119014811,Yorktown
36119010000,Scarsdale
36119009800,Scarsdale
36119012600,Bedford
36119009701,White Plains
36119001600,Yonkers
36119003000,Mount Vernon
36119011102,Greenburgh
36119001502,Yonkers
36119010701,Greenburgh
36119012502,Lewisboro
36119008800,White Plains
36119010200,Hastings-on-Hudson
36119011700,Sleepy Hollow
36119012400,Pound Ridge
36119985000,Harrison
36119002203,Yonkers
36119014000,Buchanan
36119011000,Greenburgh
36119014704,Cortlandt
36119013700,Ossining Town
36119010400,Dobbs Ferry
36119014607,Cortlandt
36119001503,Yonkers
36119014808,Yorktown
36119007500,Rye City
36119004800,Tuckahoe
36119013102,New Castle
36119014805,Yorktown
