race,age_group,nys_pop,wch_pop
Asian,Age 0 to 4 years,92059,2947
Asian,Age 15 to 24 years,209303,6796
Asian,Age 25 to 34 years,299222,7745
Asian,Age 35 to 44 years,259714,10402
Asian,Age 45 to 54 years,231911,9474
Asian,Age 5 to 14 years,176464,7261
Asian,Age 55 to 64 years,212984,7297
Asian,Age 65 to 74 years,140711,5098
Asian,Age 75 to 84 years,64831,2618
Asian,Age 85 years and over,26229,897
Black,Age 0 to 4 years,167232,7119
Black,Age 15 to 24 years,376365,17454
Black,Age 25 to 34 years,452662,19786
Black,Age 35 to 44 years,355596,17173
Black,Age 45 to 54 years,365676,18988
Black,Age 5 to 14 years,331569,14835
Black,Age 55 to 64 years,368003,18620
Black,Age 65 to 74 years,227776,11007
Black,Age 75 to 84 years,119803,6054
Black,Age 85 years and over,49091,2670
Latino,Age 0 to 4 years,293350,20058
Latino,Age 15 to 24 years,540302,35580
Latino,Age 25 to 34 years,609516,36780
Latino,Age 35 to 44 years,535054,39117
Latino,Age 45 to 54 years,467032,33609
Latino,Age 5 to 14 years,556868,38592
Latino,Age 55 to 64 years,370179,23717
Latino,Age 65 to 74 years,221445,11910
Latino,Age 75 to 84 years,112710,5335
Latino,Age 85 years and over,44602,2472
Other,Age 0 to 4 years,51007,2033
Other,Age 15 to 24 years,73499,3219
Other,Age 25 to 34 years,62722,1838
Other,Age 35 to 44 years,41795,1707
Other,Age 45 to 54 years,35845,1450
Other,Age 5 to 14 years,91332,4333
Other,Age 55 to 64 years,32409,1249
Other,Age 65 to 74 years,18940,709
Other,Age 75 to 84 years,8687,292
Other,Age 85 years and over,3646,166
White,Age 0 to 4 years,523353,21381
White,Age 15 to 24 years,1245777,60060
White,Age 25 to 34 years,1443529,46156
White,Age 35 to 44 years,1237802,55055
White,Age 45 to 54 years,1371340,72209
White,Age 5 to 14 years,1062363,52711
White,Age 55 to 64 years,1613581,82244
White,Age 65 to 74 years,1251050,61678
White,Age 75 to 84 years,670192,36049
White,Age 85 years and over,336433,21556
